name,site,image url
Was Accused Russian Spy Mariia Butina Photographed in the Oval Office?,https://www.snopes.com/fact-check/accused-russian-spy-mariia-butina-photographed-oval-office/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/07/russia.jpg?resize=542,305"
Is This How German News Covered President Trump at the NATO Summit?,https://www.snopes.com/fact-check/german-news-trump-nato/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/07/german_reporter_trump_NATO_tweet.jpg?resize=542,305"
Was This Photograph Taken Moments Before a Bear Attack?,https://www.snopes.com/fact-check/bear-attack-photo/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/07/bear_attack_faux.jpg?resize=542,305"
Is This an Image of a ‘Cow Crusher’ Device Designed to Crush Cows?,https://www.snopes.com/fact-check/image-of-cow-crusher-device/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/07/cow_crusher_miscaption_faux.jpg?resize=542,305"
Are Cars Melting in Arizona Due to a Heat Wave?,https://www.snopes.com/fact-check/cars-melting-in-arizona-heat-wave/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/07/cars_melting_arizona_miscaption_faux.jpg?resize=542,305"
Does This Video Show 8 Supernatural Car Crashes?,https://www.snopes.com/fact-check/video-8-supernatural-car-crashes/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/07/ghost_car_crashes_faux.jpg?resize=542,305"
Was This Hallway Designed to Prevent Children from Running?,https://www.snopes.com/fact-check/hallway-stop-running/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/07/wavy_floor_hallway_prevent_kids_running_miscaption_faux.jpg?resize=542,305"
Did Gareth Southgate Wear an ‘It’s Coming Home’ Waistcoat?’,https://www.snopes.com/fact-check/gareth-southgate-waistcoat/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/07/gareth_southgate_feature.jpg?resize=542,305"
Does This Photograph Show an Octopus Falling from the Sky in China?,https://www.snopes.com/fact-check/octopus-fall-sky-china/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/fisherman_with_octopus.jpg?resize=542,305"
Are These Girls Wearing ‘F*ck Trump’ Shirts?,https://www.snopes.com/fact-check/girls-trump-tshirts-rally/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/07/girls_wearing_fuck_trump_shirts_protest_blur.jpg?resize=542,305"
